trip_id,driver_id,vehicle_id,pickup_location,pickup_lat,pickup_lng,delivery_location,delivery_lat,delivery_lng,cargo_type,cargo_weight_tons,cargo_value_inr,pickup_date,delivery_date,status,distance_km,estimated_fuel_cost,actual_fuel_cost
T001,D001,V001,"Delhi, India",28.6139,77.2090,"Mumbai, India",19.0760,72.8777,Electronics,8.5,850000,2025-01-15,2025-01-17,completed,1400,15000,14800
T002,D002,V002,"Mumbai, India",19.0760,72.8777,"Pune, India",18.5204,73.8567,Textiles,12.0,600000,2025-01-16,2025-01-16,completed,150,1800,1750
T003,D003,V003,"Ahmedabad, India",23.0225,72.5714,"Surat, India",21.1702,72.8311,Chemicals,18.5,1200000,2025-01-18,2025-01-19,in_progress,280,3200,0
T004,D004,V004,"Jaipur, India",26.9124,75.7873,"Delhi, India",28.6139,77.2090,Furniture,10.0,400000,2025-01-20,2025-01-20,scheduled,280,3200,0
T005,D005,V005,"Varanasi, India",25.3176,82.9739,"Kolkata, India",22.5726,88.3639,Handicrafts,6.5,350000,2025-01-21,2025-01-22,scheduled,670,7200,0
T006,D006,V006,"Hyderabad, India",17.3850,78.4867,"Chennai, India",13.0827,80.2707,Pharmaceuticals,15.0,2000000,2025-01-22,2025-01-23,scheduled,630,6800,0
T007,D008,V008,"Gurgaon, India",28.4595,77.0266,"Jaipur, India",26.9124,75.7873,Automotive Parts,14.5,900000,2025-01-19,2025-01-19,completed,250,2800,2750
T008,D009,V009,"Dehradun, India",30.0668,79.0193,"Delhi, India",28.6139,77.2090,Agricultural Products,9.0,200000,2025-01-17,2025-01-17,completed,250,2800,2900
T009,D010,V010,"Patna, India",25.5941,85.1376,"Delhi, India",28.6139,77.2090,Food Grains,8.0,150000,2025-01-23,2025-01-24,scheduled,1000,11000,0
T010,D001,V001,"Delhi, India",28.6139,77.2090,"Chandigarh, India",30.7333,76.7794,Consumer Goods,7.5,500000,2025-01-25,2025-01-25,scheduled,250,2800,0
